,word,count
0,≥ван,148
105,гора,93
823,мар≥чка,65
24,л≥с,63
41,око,61
380,нога,60
40,од,59
760,рука,55
826,в≥вц€,52
2546,палагна,50
1332,вогонь,44
1050,полонина,40
238,т≥ло,39
153,чути,37
22,чорний,36
227,вода,36
761,груди,35
129,смерека,35
109,небо,35
540,земл€,34
9,знати,34
515,йти,32
94,наче,32
263,мати,31
150,голос,30
235,сонце,29
107,верх,29
2615,юра,29
273,трава,28
1023,бог,28
15,пот≥к,28
90,зелений,27
119,долина,27
309,хмара,26
18,хата,26
492,в≥тер,25
93,б≥лий,25
266,корова,24
1322,дим,24
422,ватра,24
48,десь,24
661,€кий,22
172,св≥т,22
527,серце,21
3436,ха,21
1475,ватаг,21
191,сила,21
479,голова,19
485,м≥сце,18
71,сто€ти,18
63,бачити,18
65,далекий,18
578,смерть,18
31,дивитис€,18
132,св≥й,18
79,зуб,18
1127,житт€,17
453,душа,17
253,тиша,17
408,червоний,17
30,рости,17
998,лиш,17
1506,стањ,17
91,царинка,17
575,тремб≥та,16
388,теплий,16
1453,хот≥ти,16
447,люда,16
121,холодний,16
64,€кийсь,16
729,лице,16
1044,в≥вчар,16
205,чугайстир,15
537,бити,15
328,коло,15
1574,кликати,15
258,повний,15
322,обличч€,14
1421,море,14
670,≥ти,14
194,дух,14
367,великий,14
2,дитина,14
2619,мольфар,14
110,син≥й,14
229,п≥сн€,14
433,почути,14
530,п≥дн€ти,14
239,кам≥нь,14
11,шум,14
1316,аби,13
735,людина,13
111,диханн€,13
1191,сей,13
646,новий,13
452,живий,13
475,побачити,13
12,черемош,13
873,овечка,13
127,тихо,13
1893,молоко,13
308,т≥нь,13
363,б≥к,13
498,сухий,12
1920,рист,12
360,довгий,12
778,другий,12
442,ши€,12
612,готовий,12
204,веселий,12
814,рух,12
610,бартка,12
604,п≥ти,12
219,скел€,12
33,такий,12
144,робити,12
1513,худ≥бка,12
167,сон,11
794,стати,11
163,с≥но,11
2181,разом,11
301,р≥ка,11
886,см≥х,11
739,≥ван≥в,11
28,н≥ч,11
34,глибокий,11
208,танець,11
911,мусити,11
465,коза,11
53,встигти,11
1497,двер≥,11
72,серед,11
1177,думка,11
628,ходити,11
702,чолов≥к,11
426,котитис€,10
516,починати,10
511,здаватис€,10
244,загорода,10
829,один,10
457,гострий,10
503,лежати,10
166,сп≥вати,10
490,пропасти,10
640,кров,10
487,врешт≥,10
745,гар€чий,10
464,нема,10
502,впасти,10
14,г≥рський,10
1306,воринн€,10
1633,г≥сь,10
26,плакати,10
2222,худоба,10
1105,сп≥ванка,10
1528,микола,10
787,пост≥л,9
445,ловити,9
899,сивий,9
1196,ци,9
357,блакитний,9
43,думати,9
359,чорногора,9
611,важкий,9
448,грати,9
103,ведм≥дь,9
368,кам≥нн€,9
790,си,9
355,вставати,9
136,≥ва,9
138,ой,9
152,згук,9
939,перший,9
1601,отара,9
942,б≥гти,9
592,се,9
75,рот,9
19,високий,9
1652,пов≥тр€,9
2871,св≥тло,9
1008,неначе,9
247,маржина,9
271,хвил€,9
1131,кол≥но,9
199,маржинка,8
1978,дерев'€ний,8
924,об,8
1223,мар≥чко,8
1635,ззаду,8
1842,спати,8
1688,хрусь,8
1664,птруа,8
252,ворожий,8
1640,вовна,8
248,зробити,8
198,пасти,8
396,об≥ймати,8
67,н≥хто,8
2058,лава,8
893,дихати,8
329,вухо,8
335,стежка,8
535,ставати,8
297,п≥д≥йматис€,8
352,кр≥зь,8
353,г≥лл€чка,8
768,крик,8
3340,жив≥т,8
2314,дати,8
1098,от,8
21,сум,8
23,смерековий,8
668,к≥нь,8
118,дерево,8
428,сид≥ти,8
519,знайти,8
1299,знов,8
1560,в≥вчарка,7
521,шукати,7
1599,поклик,7
276,зв≥дти,7
1654,бир,7
1910,д≥йниц€,7
1924,мокрий,7
272,л≥совий,7
436,круг,7
434,тихий,7
1534,спузар,7
2147,туман,7
345,легко,7
337,вище,7
17,самотн≥й,7
2470,мрець,7
317,см≥€тис€,7
523,спок≥й,7
228,берег,7
627,любити,7
755,д≥вка,7
1239,стиха,7
620,двоЇ,7
634,село,7
1142,губа,7
1138,голий,7
1135,круглий,7
192,ар≥дник,7
649,кептар,7
1108,могти,7
130,безперестанку,7
1297,прийти,7
771,кинути,7
1051,дикий,7
2771,вечер€,7
135,опов≥дати,7
3155,нал≥во,7
159,кресаню,7
864,носити,7
157,кв≥тка,7
972,шо,7
1287,добрий,7
